OBJECTID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
959,51195000009232,Big Stone Gap Police Department,505 E 5TH ST S,BIG STONE GAP,VA,24219,-,https://www.bigstonegap.org/,-82.77134741,36.86257612,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51195,Wise County
960,51530000000555,Buena Vista Police Department,306 PARK AVE,BUENA VISTA,VA,24416,-,https://www.buenavistava.org/city-services/public-safety/police/,-79.35418649,37.74079715,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51530,Buena Vista City
961,51171000005546,New Market Police Department,9418 JOHN SEVIER RD,NEW MARKET,VA,22844,-,https://www.newmarketvirginia.com/police,-78.67110217,38.64639652,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51171,Shenandoah County
962,51185000010043,Cedar Bluff Police Department,115 CENTRAL AVE,CEDAR BLUFF,VA,24609,-,https://www.facebook.com/CedarBluffPoliceDepartment/about,-81.76392906,37.08760171,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51185,Tazewell County
963,51167000004715,Lebanon Police Department,405 W MAIN ST,LEBANON,VA,24266,-,https://lebanonva.net/government/departments/,-82.08747455,36.90018799,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51167,Russell County
964,51195000004491,Pound Police Department,8422 N RIVER RD,POUND,VA,24279,-,https://poundva.com/page1.html,-82.6017528,37.12252826,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51195,Wise County
965,51051000008117,Clinchco Police Department,156 CLINCHCO MAIN ST,CLINCHCO,VA,24226,-,https://clinchcova.net/,-82.36019784,37.16090148,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51051,Dickenson County
966,51680000023324,Lynchburg Police Department,905 COURT,LYNCHBURG,VA,24504,-,https://www.lynchburgvapolice.gov/,-79.14414007,37.4134636,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51680,Lynchburg City
967,51083000016964,Halifax Town Police Department,70 S MAIN ST,HALIFAX,VA,24558,-,https://www.townofhalifax.com/town-hall-26331/town-services/police,-78.92892398,36.76508479,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51083,Halifax County
968,51117000002360,Clarksville Police Department,914 VIRGINIA AVE,CLARKSVILLE,VA,23927,-,https://clarksvilleva.org/,-78.56478549,36.62176115,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51117,Mecklenburg County
969,51173000014652,Marion Police Department,307 S PARK ST,MARION,VA,24354,-,https://www.marionva.org/police-department,-81.51858045,36.83052508,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51173,Smyth County
970,51720000000673,Norton Police Department,618 VIRGINIA AVE NW,NORTON,VA,24273,-,https://www.nortonva.org/79/Police-Department,-82.62867848,36.93546428,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51720,Norton City
971,51161000025576,Vinton Police Department,311 POLLARD ST,VINTON,VA,24179,-,https://www.vintonva.gov/247/Police-Services,-79.89860494,37.2785696,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51161,Roanoke County
972,51678000000006,Lexington Police Department,11 FULLER ST,LEXINGTON,VA,24450,-,https://www.lexingtonvapd.com/,-79.43782532,37.78375482,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51678,Lexington City
973,51139000012537,Shenandoah Town Police Department,426 FIRST ST,SHENANDOAH,VA,22849,-,https://www.townofshenandoah.com/police,-78.62571347,38.4853469,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51139,Page County
974,51165000024073,Dayton Police Department,125 EASTVIEW ST,DAYTON,VA,22821,-,https://www.daytonva.us/police-department,-78.94274067,38.41310587,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51165,Rockingham County
975,51031000020782,Altavista Police Department,510 7TH ST,ALTAVISTA,VA,24517,-,https://www.altavistava.gov/government/town_departments/public_safety/index.php,-79.29018729,37.11005755,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51031,Campbell County
976,51105000004439,Pennington Gap Police Department,528 INDUSTRIAL DR,PENNINGTON GAP,VA,24277,-,https://townofpenningtonva.gov/directory/police-department/,-83.01799954,36.76826045,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51105,Lee County
977,51117000004079,Chase City Police Department,219 E SECOND ST,CHASE CITY,VA,23924,-,https://www.chasecity.org/23-town-hall/60-police-department#/,-78.45941151,36.79887713,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51117,Mecklenburg County
978,51009000013403,Amherst Police Department,127 W COURT ST,AMHERST,VA,24521,-,https://amherstva.gov/departments/police/,-79.05328197,37.58556945,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51009,Amherst County
979,51195000017651,Wise Police Department,501 W MAIN ST,WISE,VA,24293,-,https://www.townofwise.net/police,-82.58477446,36.98157184,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51195,Wise County
980,51143000020490,Gretna Police Department,105 S SHELTON ST,GRETNA,VA,24557,-,https://www.townofgretna.org/departments/gretna-police-department,-79.36209552,36.95346811,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51143,Pittsylvania County
981,51163000007311,Glasgow Police Department,1100 BLUE RIDGE RD,GLASGOW,VA,24555,-,https://glasgowvirginia.org/police,-79.45055793,37.63439476,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,Agency,51163,Rockbridge County
982,51003000032445,Albemarle County Police Department,1600 5TH ST,CHARLOTTESVILLE,VA,22902,-,https://www.albemarle.org/government/police,-78.51688997,38.00528481,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - County,DCJS,51003,Albemarle County
983,51067000030672,Boones Mill Police Department,77 FOOTHILLS VIEW XING,BOONES MILL,VA,24065,-,https://www.townofboonesmill.org/public-safety,-79.9494296,37.11585203,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51067,Franklin County
984,51520000002604,Bristol Police Department,501 SCOTT ST,BRISTOL,VA,24201,-,https://www.bristolva.org/155/Police-Department,-82.18172998,36.59879236,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51520,Bristol City
985,51025000008073,Brodnax Police Department,28 MAIN ST,BRODNAX,VA,23920,-,https://www.facebook.com/people/Town-of-Brodnax/100067082891681/?sk=about,-78.03198765,36.70630885,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51025,Brunswick County
986,51131000006961,Chesapeake Bay Bridge-Tunnel Police,32386 LANKFORD HWY,CAPE CHARLES,VA,23310,-,https://www.cbbt.com/,-75.96805049,37.13388031,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Law Enforcement - State,DCJS,51131,Northampton County
987,51051000000025,Clintwood Police Department,207 WALNUT ST,CLINTWOOD,VA,24228,-,https://townofclintwood.com/,-82.45711559,37.14943552,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51051,Dickenson County
988,51037000004507,Drakes Branch Police Department,4800 DRAKES MAIN ST,DRAKES BRANCH,VA,23937,-,https://towndrakesbranch.com/,-78.60239993,36.99352774,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51037,Charlotte County
989,51001000025428,Eastern Shore Community College Police Department,29316 LANKFORD HWY,MELFA,VA,23410,-,https://es.vccs.edu/,-75.75199071,37.64043813,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51001,Accomack County
990,51169000009426,Gate City Police Department,156 EAST JACKSON ST,GATE CITY,VA,24251,-,https://www.mygatecity.com/government/town-departments/police-department/,-82.57829834,36.63952672,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51169,Scott County
991,51051000005286,Haysi Police Department,322 HAYSI MAIN ST,HAYSI,VA,24256,-,https://haysivirginia.gov/haysi-police-department/,-82.2947308,37.20653669,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51051,Dickenson County
992,51660000018735,James Madison University Police Department,821 S MAIN ST,HARRISONBURG,VA,22801,-,https://www.jmu.edu/police/index.shtml,-78.87525901,38.44117425,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51660,Harrisonburg City
993,51105000010635,Jonesville Police Department,842 PARK ST,JONESVILLE,VA,24263,-,https://www.jonesvillevirginia.com/police,-83.11503774,36.69467385,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51105,Lee County
994,51095000044115,Kingsmill Police Department,309 McLaws Cir STE D,WILLIAMSBURG,VA,23185,-,https://kingsmillpolice.org/home,-76.66253704,37.24564929,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51095,James City County
995,51053000005051,McKenney Police Department,20707 FIRST ST,MC KENNEY,VA,23872,-,-,-77.72232063,36.98698337,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51053,Dinwiddie County
996,51061000010431,Remington Police Department,105 EAST MAIN ST,REMINGTON,VA,22734,-,https://www.remington-va.gov/departments/police_department.php,-77.80747744,38.53339351,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51061,Fauquier County
997,51071000008553,Rich Creek Police Department,250 OLD VIRGINIA AVE,RICH CREEK,VA,24147,-,https://www.richcreek.org/police.pdf,-80.8230556,37.38280522,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51071,Giles County
998,51185000011895,Richlands Police Department,1851 CRANWELL DR,RICHLANDS,VA,24641,-,https://www.town.richlands.va.us/pd/police.html,-81.80021933,37.095753,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51185,Tazewell County
999,51650000066244,Virginia Marine Resources Commission Police Headquarters,380 FENWICK RD,FORT MONROE,VA,23651,-,https://mrc.virginia.gov/MarinePolice/,-76.30138556,37.00972907,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Law Enforcement - State,DCJS,51650,Hampton City
1000,51678000002465,Virginia Military Institute Police Department,301 LETCHER AVE 400,LEXINGTON,VA,24450,-,https://www.vmi.edu/cadet-life/health-wellness-safety/vmi-police/,-79.43994825,37.78860498,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51678,Lexington City
1001,51103000003704,White Stone Police Department,433 RAPPAHANNOCK DR,WHITE STONE,VA,22578,-,https://www.facebook.com/profile.php?id=100066747017508&sk=about,-76.38839478,37.64933081,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51103,Lancaster County
1002,51700000035217,Christopher Newport University Police Department,12270 WARWICK BLVD 33,NEWPORT NEWS,VA,23606,-,https://cnu.edu/police/,-76.48790924,37.06278563,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51700,Newport News City
1003,51175000006968,Courtland Police Department,22219 MEHERRIN RD,COURTLAND,VA,23837,-,https://www.police1.com/law-enforcement-directory/police-departments/courtland-police-department-courtland-va-RtwEqIw9T363ADFQ/,-77.06925153,36.71722478,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51175,Southampton County
1004,51650000049795,Hampton University Police Department,607 NORMA B HARVEY WAY,HAMPTON UNIVERSITY,VA,23668,-,https://home.hamptonu.edu/police/,-76.33648746,37.02173794,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51650,Hampton City
1005,51700000046761,Newport News-Williamsburg International Airport Police Department,900 BLAND BLVD,NEWPORT NEWS,VA,23602,-,https://newportnewsairport.com/,-76.50276462,37.130038,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51700,Newport News City
1006,51093000001792,Windsor Police Department,56 E WINDSOR BLVD,WINDSOR,VA,23487,-,https://www.windsor-va.gov/page/windsor-police/,-76.73588084,36.80646014,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51093,Isle of Wight County
1007,51121000041121,Christiansburg Police Department,10 E MAIN ST,CHRISTIANSBURG,VA,24073,-,https://www.christiansburg.org/107/Police,-80.40833064,37.1304879,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51121,Montgomery County
1008,51640000001769,Galax Police Department,353 N MAIN ST,GALAX,VA,24333,-,https://galaxva.com/galax-va-police-department/,-80.92528274,36.66453742,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51640,Galax City
1009,51173000015213,Chilhowie Police Department,325 EAST LEE HWY,CHILHOWIE,VA,24319,-,https://chilhowie.org/government/chief-of-police/,-81.6802855,36.80038347,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51173,Smyth County
1010,51750000003111,Radford Police Department,20 ROBERTSON ST,RADFORD,VA,24141,-,https://www.radfordva.gov/220/Police-Department,-80.58203785,37.13135337,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51750,Radford City
1011,51775000010511,Salem Police Department,36 E CALHOUN ST,SALEM,VA,24153,-,https://salemva.gov/260/Police,-80.05701348,37.29189785,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51775,Salem City
1012,51077000009654,Independence Police Department,136 E MAIN ST,INDEPENDENCE,VA,24348,-,https://independenceva.com/emergency-services,-81.15063175,36.62227723,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51077,Grayson County
1013,51830000002647,College of William and Mary Police Department,201 UKROP WAY,WILLIAMSBURG,VA,23185,-,https://www.wm.edu/offices/police/,-76.71801661,37.26789508,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51830,Williamsburg City
1014,51750000003114,Radford University Police Department,810 EAST MAIN ST,RADFORD,VA,24141,-,https://www.radford.edu/content/police/home.html,-80.54756584,37.13905743,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51750,Radford City
1015,51197000001931,Rural Retreat Police Department,307 S MAIN ST,RURAL RETREAT,VA,24368,-,https://www.townofruralretreat.com/departments/police_department.php,-81.27622108,36.89191158,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51197,Wythe County
1016,51121000000587,Virginia Tech Police Department,330 STERRETT DR,BLACKSBURG,VA,24060,-,https://police.vt.edu/,-80.41636075,37.21871406,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51121,Montgomery County
1017,51001000021740,Tangier Police Department,4301 JOSHUA THOMAS LN,TANGIER,VA,23440,-,https://www.discoverpolicing.org/agency/tangier-police-department/,-75.9961839,37.8278203,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,Agency,51001,Accomack County
1018,51003000042990,Charlottesville-Albemarle Airport Police Department,100 BOWEN LOOP,CHARLOTTESVILLE,VA,22911,-,https://gocho.com/dps/,-78.44937868,38.13952651,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51003,Albemarle County
1019,51015000002752,Blue Ridge Community College PD,57 COLLEGE LN,WEYERS CAVE,VA,24486,-,https://www.blueridge.edu/about-blue-ridge/police-and-public-safety/,-78.93736707,38.2793962,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51015,Augusta County
1020,51165000026611,Bridgewater College Police and Safety Department,122 COLLEGE VIEW DR,BRIDGEWATER,VA,22812,-,https://www.bridgewater.edu/police-safety/,-78.96520799,38.37693803,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51165,Rockingham County
1021,51015000021188,Craigsville Police Department,18 HIDY ST,CRAIGSVILLE,VA,24430,-,https://www.craigsville.us/,-79.3850767,38.07725421,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51015,Augusta County
1022,51131000004261,Eastville Police Department,5250 WILLOW OAK RD,CAPE CHARLES,VA,23310,-,https://www.townofeastville.com/default.aspx,-75.94496259,37.35248847,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51131,Northampton County
1023,51027000014354,Grundy Police Department,1185 PLAZA DR,GRUNDY,VA,24614,-,https://www.townofgrundy.com/police_department,-82.1067996,37.25739157,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51027,Buchanan County
1024,51001000002494,Hallwood Police Department,11479 RIDGE AVE,HALLWOOD,VA,23359,-,https://www.countyoffice.org/hallwood-police-department-hallwood-va-8cb/,-75.5896545,37.87795291,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51001,Accomack County
1025,51087000067625,Henrico County Police Division,7721 E PARHAM RD,HENRICO,VA,23294,-,https://henrico.us/police/,-77.52864224,37.63008404,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - County,DCJS,51087,Henrico County
1026,51069000001908,Laurel Ridge Community College Police Department,173 SKIRMISHER LN,MIDDLETOWN,VA,22645,-,https://laurelridge.edu/campus-police-and-safety/campus-police/,-78.26720661,39.03609315,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51069,Frederick County
1027,51680000004258,Liberty University Police Department,1031 REGENTS PKWY,LYNCHBURG,VA,24502,-,https://www.liberty.edu/police/,-79.17582872,37.35797878,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51680,Lynchburg City
1028,51107000026521,Loudoun County Sheriff's Office,803 SYCOLIN RD SE,LEESBURG,VA,20175,-,https://sheriff.loudoun.gov/,-77.55342066,39.0824035,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Sheriff - County,DCJS,51107,Loudoun County
1029,51680000024484,BWXT Police Department,800 MAIN ST,LYNCHBURG,VA,24504,-,-,-79.14275576,37.4156969,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51680,Lynchburg City
1030,51069000012029,Middletown Police Department,7735 MAIN ST,MIDDLETOWN,VA,22645,-,https://www.middletownva.gov/,-78.2758318,39.03140684,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Town,DCJS,51069,Frederick County
1031,51031000033302,Lynchburg Regional Airport Police Department,350 TERMINAL DR,LYNCHBURG,VA,24502,-,https://flylyh.com/,-79.19386744,37.33047688,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51031,Campbell County
1032,51087000042585,Richmond International Airport Police Department,1 RICHARD E BYRD TERMINAL DR,RICHMOND,VA,23250,-,https://flyrichmond.com/contact-us/,-77.33330126,37.50830531,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51087,Henrico County
1033,51087000131474,University of Richmond Police Department,490 WESTHAMPTON WAY,RICHMOND,VA,23173,-,https://police.richmond.edu/,-77.54064528,37.57165719,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51087,Henrico County
1034,51003000013389,University of Virginia Police Department,2304 IVY RD,CHARLOTTESVILLE,VA,22903,-,www.virginia.edu/uvapolice,-78.52223504,38.04629391,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51003,Albemarle County
1035,51195000008060,University of Virginia College at Wise Police Department,5716 THOMAS JEFFERSON DR CANTRELL HALL,WISE,VA,24293,-,https://www.uvawise.edu/campus-police,-82.56021394,36.97130068,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51195,Wise County
1036,51760000081983,Virginia Commonwealth University Police Department,224 E BROAD ST,RICHMOND,VA,23219,-,https://police.vcu.edu/,-77.43931981,37.5443069,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51760,Richmond City
1037,51191000024350,Virginia Highlands Community College Police Department,130 VHCC DR ISC 151,ABINGDON,VA,24210,-,https://www.vhcc.edu/campus-police,-82.0014687,36.69939385,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51191,Washington County
1038,51820000000717,Waynesboro Sheriff's Department,250 S WAYNE AVE,WAYNESBORO,VA,22980,-,https://www.waynesboro.va.us/150/Sheriffs-Office,-78.88965861,38.06619015,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - City,DCJS,51820,Waynesboro City
1039,51770000047288,Roanoke Regional Airport Commission Police,5202 AVIATION DR NW,ROANOKE,VA,24012,-,https://www.flyroa.com/,-79.97012473,37.32019547,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51770,Roanoke City
1040,51165000028336,Bridgewater Airport Police Department,1402 AIRPORT RD,BRIDGEWATER,VA,22812,-,https://www.dynamicaviation.com/,-78.95977049,38.36433118,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,DCJS,51165,Rockingham County
1041,51274400002059,Longwood University Police Department,304 BROCK CMNS,FARMVILLE,VA,23901,-,https://www.longwood.edu/police/,-78.39612843,37.29910975,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,5127440,Farmville Town
1042,51195000009911,Mountain Empire Community College Police Department,3401 MOUNTAIN EMPIRE RD GODWIN HALL,BIG STONE GAP,VA,24219,-,https://www.mecc.edu/staff/campus-police/,-82.75921118,36.8543958,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51195,Wise County
1043,51710000077363,Norfolk State University Police Department,2501 CORPREW AVE,NORFOLK,VA,23504,-,https://www.nsu.edu/About/Administrative-Offices-Services/University-Police-Department,-76.26054393,36.85017787,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51710,Norfolk City
1044,51680000004522,Central Virginia Community College Police Department,3506 WARDS RD AMHERST HALL 2605,LYNCHBURG,VA,24502,-,http://www.cvcc.vccs.edu/security/,-79.18439621,37.35886366,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51680,Lynchburg City
1045,51107000061986,MWAA Police Department Headquarters,45045 AVIATION DR,STERLING,VA,20166,-,https://www.mwaa.com/policefireems/mwaa-police-department,-77.44671177,38.95764447,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Private,Agency,51107,Loudoun County
1046,51760000038298,Virginia Alcoholic Beverage Control Police Department,2901 HERMITAGE RD,RICHMOND,VA,23220,-,https://www.abc.virginia.gov/enforcement/bureau-of-law-enforcement,-77.4600531,37.57144447,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Law Enforcement - State,DCJS,51760,Richmond City
1047,51790000001002,Virginia School for the Deaf and the Blind Office of Public Safety,104 VSDB DR,STAUNTON,VA,24401,-,https://www.vsdb.k12.va.us/page/public-safety,-79.06420537,38.15034207,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Law Enforcement - State,Agency,51790,Staunton City
1048,51710000047024,Eastern Virginia Medical School Police and Public Safety Department,700 W OLNEY RD LEWIS HALL,NORFOLK,VA,23507,-,https://www.evms.edu/about_evms/police_public_safety/,-76.30089257,36.86121641,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51710,Norfolk City
1049,51191000009138,Emory and Henry College Police Department,30522 GARNAND DR MARTIN-BROCK SC,MEADOWVIEW,VA,24361,-,https://www.ehc.edu/campus-police/,-81.82917957,36.77288556,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51191,Washington County
1050,51067000029778,Ferrum College Police Department,109 FERRUM MOUNTAIN RD,FERRUM,VA,24088,-,https://www.ferrum.edu/campus-police/,-80.01925293,36.92567418,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51067,Franklin County
1051,51059000360017,George Mason University Police Department,4393 UNIVERSITY DR,FAIRFAX,VA,22030,-,https://police.gmu.edu/,-77.30602371,38.83538792,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51059,Fairfax County
1052,51137000015429,Germanna Community College Police Department,2130 GERMANNA HWY,LOCUST GROVE,VA,22508,-,https://germanna.edu/about-germanna/health-safety/college-police-department,-77.78014129,38.37556065,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51137,Orange County
1053,51147000008158,Hampden-Sydney College Police Department,88 ATKINSON AVE,HAMPDEN SYDNEY,VA,23943,-,https://www.hsc.edu/public-safety-and-police,-78.45804888,37.24169316,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51147,Prince Edward County
1054,51087000010691,J. Sargeant Reynolds Community College Main Campus Police Department Headquarters,1651 E PARHAM RD BURNETTE HALL STE 100,HENRICO,VA,23228,-,https://www.reynolds.edu/campus_life/police/default.html,-77.4736631,37.63773566,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51087,Henrico County
1055,51710000061007,Old Dominion University Police Department,4516 MONARCH WAY,NORFOLK,VA,23508,-,https://www.odu.edu/police,-76.30008686,36.88540894,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51710,Norfolk City
1056,51089000021230,Patrick & Henry Community College Police Department,645 PATRIOT AVE,MARTINSVILLE,VA,24112,-,https://www.patrickhenry.edu/,-79.8711049,36.73780081,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51089,Henry County
1057,51003000009843,Piedmont Virginia Community College Police Department,501 COLLEGE DR MAIN BUILDING ROOM 218,CHARLOTTESVILLE,VA,22902,-,https://www.pvcc.edu/about-pvcc/pvcc-department-public-safety-campus-police,-78.48348559,38.00692246,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51003,Albemarle County
1058,51810000071845,Regent University Police Department,1000 REGENT UNIVERSITY DR,VIRGINIA BEACH,VA,23464,-,https://www.regent.edu/about-regent/regent-university-police-department/,-76.19462837,36.80253752,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51810,Virginia Beach City
1059,51149000009178,Richard Bland College of William and Mary Police Department,11301 JOHNSON RD,PETERSBURG,VA,23805,-,https://www.rbc.edu/my-rbc/campus-police-safety-security/,-77.39645206,37.15668539,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51149,Prince George County
1060,51650000039666,Virginia Peninsula Community College Police Department,99 THOMAS NELSON DR,HAMPTON,VA,23666,-,https://www.vpcc.edu/about/safety/about-campus-police.html,-76.42025375,37.06384128,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51650,Hampton City
1061,51185000010694,Southwest Virginia Community College Police Department,635 COMMUNITY COLLEGE RD,CEDAR BLUFF,VA,24609,-,https://sw.edu/,-81.79642144,37.00550193,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51185,Tazewell County
1062,51760000082910,Virginia Union University Police Department,1500 N LOMBARDY ST PICKFORD HALL G7,RICHMOND,VA,23220,-,https://www.vuu.edu/about-union/university-police,-77.44943634,37.56316103,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51760,Richmond City
1063,51770000040464,Virginia Western Community College Police Department,3054 COLONIAL AVE SW,ROANOKE,VA,24015,-,https://www.virginiawestern.edu/police/,-79.96820086,37.24794732,AP,2023/10/30 00:00:00+00,Law Enforcement Points,Police - Higher Education,DCJS,51770,Roanoke City
